MU - 1.FK P¯Ìbram - FKT U19 - 29.3. 2026;;;;;;;;;;;;;;;;
Player Name;Distance (km);Sprint Distance (m);Power Plays;Energy (kcal);Impacts;Top Speed (km/h);Work Ratio;Distance in Speed Zone 3  (m);Distance in Speed Zone 4  (m);Distance in Speed Zone 5  (m);Accelerations Zone Count: 3 - 4 m/s/s;Accelerations Zone Count: > 4 m/s/s;Celkem;Deceleration Zone Count: 3 - 4 m/s/s;Deceleration Zone Count: > 4 m/s/s;Celkem
Vegricht;2,1218;174,925;17;269,5762;0;26,7682;27,2226;372,5;159,4;15,6;8;5;13;9;4;13
BÌlek;2,0427;305,019;15;242,6901;1;29,3602;32,1436;543,4;259,8;45,3;9;4;13;6;5;11
Svatoö;12,2704;1092,662;96;1617,9185;5;33,0243;35,5105;1810,8;777,4;315,3;77;29;106;83;46;129
Kwarteng ;3,2009;314,671;29;385,6327;5;28,1762;33,2871;1076,7;290,9;23,7;15;10;25;18;12;30
Salaba;10,9114;521,145;70;1287,0165;9;27,1362;32,8178;1235,9;445,6;75,5;70;23;93;59;45;104
Zosimenko;9,5153;841,656;66;1367,1215;3;30,7362;28,1491;1006,3;585,1;256,5;52;37;89;65;40;105
äùovÌËek;11,9917;437,898;48;1477,4408;2;29,1202;39,3713;1357,9;356,7;81,2;61;19;80;56;15;71
Holba;10,9425;623,84;79;1193,3799;2;30,3602;30,8371;1708,3;460,7;163,2;96;26;122;57;39;96
Port;13,3379;618,509;73;1540,5746;3;27,2482;46,2799;1841,2;549,4;69,1;50;17;67;44;17;61
Williams;10,7379;1047,724;97;1356,0922;11;31,1523;30,6959;1471,8;749,3;298,4;76;38;114;42;42;84
Bar·t;11,762;732,385;69;1511,9264;13;31,0082;39,794;1394,8;581,5;150,9;85;30;115;70;40;110
Kulh·nek;8,9003;421,314;54;1032,3114;4;27,9282;44,4913;1273,9;373,7;47,7;46;21;67;43;18;61
